date,est_jour_ferie,nom_jour_ferie
2002-05-09,True,Ascension
2002-05-20,True,Lundi de Pentecôte
2002-07-14,True,Fête Nationale
2002-08-15,True,Assomption
2002-11-01,True,Toussaint
2002-11-11,True,Armistice
2002-12-25,True,Noël
2002-12-26,True,Saint Étienne
2003-01-01,True,Jour de l'an
2003-04-18,True,Vendredi Saint
2003-04-21,True,Lundi de Pâques
2003-05-01,True,Fête du travail
2003-05-08,True,Victoire des alliés
2003-05-29,True,Ascension
2003-06-09,True,Lundi de Pentecôte
2003-07-14,True,Fête Nationale
2003-08-15,True,Assomption
2003-11-01,True,Toussaint
2003-11-11,True,Armistice
2003-12-25,True,Noël
2003-12-26,True,Saint Étienne
2004-01-01,True,Jour de l'an
2004-04-09,True,Vendredi Saint
2004-04-12,True,Lundi de Pâques
2004-05-01,True,Fête du travail
2004-05-08,True,Victoire des alliés
2004-05-20,True,Ascension
2004-05-31,True,Lundi de Pentecôte
2004-07-14,True,Fête Nationale
2004-08-15,True,Assomption
2004-11-01,True,Toussaint
2004-11-11,True,Armistice
2004-12-25,True,Noël
2004-12-26,True,Saint Étienne
2005-01-01,True,Jour de l'an
2005-03-25,True,Vendredi Saint
2005-03-28,True,Lundi de Pâques
2005-05-01,True,Fête du travail
2005-05-05,True,Ascension
2005-05-08,True,Victoire des alliés
2005-05-16,True,Lundi de Pentecôte
2005-07-14,True,Fête Nationale
2005-08-15,True,Assomption
2005-11-01,True,Toussaint
2005-11-11,True,Armistice
2005-12-25,True,Noël
2005-12-26,True,Saint Étienne
2006-01-01,True,Jour de l'an
2006-04-14,True,Vendredi Saint
2006-04-17,True,Lundi de Pâques
2006-05-01,True,Fête du travail
2006-05-08,True,Victoire des alliés
2006-05-25,True,Ascension
2006-06-05,True,Lundi de Pentecôte
2006-07-14,True,Fête Nationale
2006-08-15,True,Assomption
2006-11-01,True,Toussaint
2006-11-11,True,Armistice
2006-12-25,True,Noël
2006-12-26,True,Saint Étienne
2007-01-01,True,Jour de l'an
2007-04-06,True,Vendredi Saint
2007-04-09,True,Lundi de Pâques
2007-05-01,True,Fête du travail
2007-05-08,True,Victoire des alliés
2007-05-17,True,Ascension
2007-05-28,True,Lundi de Pentecôte
2007-07-14,True,Fête Nationale
2007-08-15,True,Assomption
2007-11-01,True,Toussaint
2007-11-11,True,Armistice
2007-12-25,True,Noël
2007-12-26,True,Saint Étienne
2008-01-01,True,Jour de l'an
2008-03-21,True,Vendredi Saint
2008-03-24,True,Lundi de Pâques
2008-05-01,True,Fête du travail
2008-05-08,True,Victoire des alliés
2008-05-12,True,Lundi de Pentecôte
2008-07-14,True,Fête Nationale
2008-08-15,True,Assomption
2008-11-01,True,Toussaint
2008-11-11,True,Armistice
2008-12-25,True,Noël
2008-12-26,True,Saint Étienne
2009-01-01,True,Jour de l'an
2009-04-10,True,Vendredi Saint
2009-04-13,True,Lundi de Pâques
2009-05-01,True,Fête du travail
2009-05-08,True,Victoire des alliés
2009-05-21,True,Ascension
2009-06-01,True,Lundi de Pentecôte
2009-07-14,True,Fête Nationale
2009-08-15,True,Assomption
2009-11-01,True,Toussaint
2009-11-11,True,Armistice
2009-12-25,True,Noël
2009-12-26,True,Saint Étienne
2010-01-01,True,Jour de l'an
2010-04-02,True,Vendredi Saint
2010-04-05,True,Lundi de Pâques
2010-05-01,True,Fête du travail
2010-05-08,True,Victoire des alliés
2010-05-13,True,Ascension
2010-05-24,True,Lundi de Pentecôte
2010-07-14,True,Fête Nationale
2010-08-15,True,Assomption
2010-11-01,True,Toussaint
2010-11-11,True,Armistice
2010-12-25,True,Noël
2010-12-26,True,Saint Étienne
2011-01-01,True,Jour de l'an
2011-04-22,True,Vendredi Saint
2011-04-25,True,Lundi de Pâques
2011-05-01,True,Fête du travail
2011-05-08,True,Victoire des alliés
2011-06-02,True,Ascension
2011-06-13,True,Lundi de Pentecôte
2011-07-14,True,Fête Nationale
2011-08-15,True,Assomption
2011-11-01,True,Toussaint
2011-11-11,True,Armistice
2011-12-25,True,Noël
2011-12-26,True,Saint Étienne
2012-01-01,True,Jour de l'an
2012-04-06,True,Vendredi Saint
2012-04-09,True,Lundi de Pâques
2012-05-01,True,Fête du travail
2012-05-08,True,Victoire des alliés
2012-05-17,True,Ascension
2012-05-28,True,Lundi de Pentecôte
2012-07-14,True,Fête Nationale
2012-08-15,True,Assomption
2012-11-01,True,Toussaint
2012-11-11,True,Armistice
2012-12-25,True,Noël
2012-12-26,True,Saint Étienne
2013-01-01,True,Jour de l'an
2013-03-29,True,Vendredi Saint
2013-04-01,True,Lundi de Pâques
2013-05-01,True,Fête du travail
2013-05-08,True,Victoire des alliés
2013-05-09,True,Ascension
2013-05-20,True,Lundi de Pentecôte
